Link,Titulo,Anfitriao,Tempo_Hospedando,Preco_Noite,Noites,Taxa_Limpeza,Preco_Total,Hospedes,Quartos,Camas,Banheiros,Latitude,Longitude,Endereco
https://www.airbnb.com.br/rooms/41774822?check_in=2026-03-10&check_out=2026-03-15,Casa de Praia em Carapibus c/ Piscina próx a praia,Rafael,6 anos,N/A,N/A,N/A,N/A,15,4,6,3,-7.29604,-34.80316,"Rua joaquim Francisco I, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1154459541572006646?check_in=2026-03-10&check_out=2026-03-15,Casa 06- Falésias de Carapibus - Jacumã c/ piscina,Ana Paula,2 anos,N/A,N/A,N/A,N/A,8,2,5,3,-7.2959,-34.8035,"Rua joaquim Francisco I, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1562443827511205523?check_in=2026-03-10&check_out=2026-03-15,Casa de praia para o verão e carnaval,Raquel Moraes,N/A,N/A,N/A,N/A,N/A,10,5,7,4,-7.3133,-34.8039,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1583631287777263663?check_in=2026-03-10&check_out=2026-03-15,Casa Aconchegante em Condomínio Country.,Vinicius,N/A,N/A,N/A,N/A,N/A,10,4,6,3,-7.2797,-34.854,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, 58322-000, Brasil"
https://www.airbnb.com.br/rooms/1566702937159853802?check_in=2026-03-10&check_out=2026-03-15,Casa Duplex em Condomínio Mar de Tabatinga,Silvia Noemia,N/A,N/A,N/A,N/A,N/A,7,3,3,3,-7.31853,-34.80813,"Rodovia Ministro Abelardo Jurema Araújo, Assentamento Tambaba, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1046597433872437593?check_in=2026-03-10&check_out=2026-03-15,Casa 2 Carapibus,Clara,7 anos,N/A,N/A,N/A,N/A,10,2,6,2,-7.29941,-34.80034,"Pousada da Luz, Rua Luiz Caldas de Sa Bento, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/41534874?check_in=2026-03-10&check_out=2026-03-15,"Duplex na praia de Carapibus, litoral sul da PB!",Camila Gondim,N/A,N/A,N/A,N/A,N/A,7,2,5,5,-7.30325,-34.80089,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/575526386273915620?check_in=2026-03-10&check_out=2026-03-15,Casa de Praia com piscina e Parque infantil,Adriano Sergio,4 anos,N/A,N/A,N/A,N/A,12,5,7,5,-7.3126,-34.803,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/783238783028112797?check_in=2026-03-10&check_out=2026-03-15,Flat Jacumã Conde,Flat Litoral Sul Pb,3 anos,N/A,N/A,N/A,N/A,6,1,4,1,-7.292,-34.8078,"Rua Porto do Sol, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1587903361863750830?check_in=2026-03-10&check_out=2026-03-15,Vila Veranear,Everson,N/A,N/A,N/A,N/A,N/A,6,2,7,2,-7.2726,-34.80829,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1401809082227660337?check_in=2026-03-10&check_out=2026-03-15,Casa para alugar em Carapibus-PB,Helder,N/A,N/A,N/A,N/A,N/A,8,4,2,3,-7.2988,-34.8046,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1611710127873087952?check_in=2026-03-10&check_out=2026-03-15,Moderno e aconchegante Apê,Fernanda,N/A,N/A,N/A,N/A,N/A,4,2,3,1,-7.22096,-34.84965,"Gramame, João Pessoa, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, 58067-235, Brasil"
https://www.airbnb.com.br/rooms/50172744?check_in=2026-03-10&check_out=2026-03-15,Tabatinga Residence Flat Nord Luxxor - Pé na areia,Gabriel,5 anos,N/A,N/A,N/A,N/A,4,1,2,1,-7.31387,-34.80355,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1223981753805729998?check_in=2026-03-10&check_out=2026-03-15,"Casa em Carapibus, a 200 metros do mar, vá andando",Andrielly,5 anos,N/A,N/A,N/A,N/A,15,4,8,3,-7.3008,-34.80002,"Rua Rodrigo Nunes, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1047688620866805432?check_in=2026-03-10&check_out=2026-03-15,Flat Beira Mar Jacumã,Kilder,2 anos,N/A,N/A,N/A,N/A,5,1,3,1,-7.28829,-34.80134,"Rua Etelvina do Nascimento Freire, Jacumã, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1608264821312804533?check_in=2026-03-10&check_out=2026-03-15,Seu descanso em Carapibus | Apartamento completo,José,N/A,N/A,N/A,N/A,N/A,6,2,3,1,-7.2976,-34.81066,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1415297454519599906?check_in=2026-03-10&check_out=2026-03-15,Apartamento Salamina Praias Litoral Sul,Catia,N/A,N/A,N/A,N/A,N/A,4,2,5,1,-7.222,-34.8439,"Gramame, João Pessoa, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, 58067-235, Brasil"
https://www.airbnb.com.br/rooms/1338469572218010135?check_in=2026-03-10&check_out=2026-03-15,APTO Com linda piscina perto das melhores praias!,Altamir Felipe,1 anos,N/A,N/A,N/A,N/A,6,2,3,1,-7.2931,-34.8077,"Rua Joaquim Francisco, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/939200913348982753?check_in=2026-03-10&check_out=2026-03-15,Bangalô Duplex 602 Riviera do Atlântico,Tereza Raquel Da Cunha,3 anos,N/A,N/A,N/A,N/A,8,3,3,2,-7.28303,-34.80532,"Rua Antonia Ribeiro, Jacumã, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
https://www.airbnb.com.br/rooms/1065274592844173673?check_in=2026-03-10&check_out=2026-03-15,Flat incrível em Frente à Praia,João Pedro,2 anos,N/A,N/A,N/A,N/A,4,1,3,1,-7.3021,-34.7997,"Rua Rodrigo Nunes, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
