Link,Titulo,Anfitriao,Tempo_Hospedando,Preco_Noite,Noites,Taxa_Limpeza,Preco_Total,Hospedes,Quartos,Camas,Banheiros,Latitude,Longitude,Endereco
https://www.airbnb.com.br/rooms/49849816?check_in=2026-03-10&check_out=2026-03-15,Sobrado Oasis do Paranapanema - Estadia e Alegria,Leandro,5 anos,N/A,N/A,N/A,N/A,15,3,8,3,-22.69713,-51.79073,"Avenida Raposo Tavares, Santo Inácio, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil"
https://www.airbnb.com.br/rooms/1251464272667900504?check_in=2026-03-10&check_out=2026-03-15,Chácara para Lazer/Recreação,Dinho,1 anos,N/A,N/A,N/A,N/A,10,2,5,3,-22.83734,-51.95367,"Rodovia Francisco Laranjeira Villar, Jardim Santa Clara, Colorado, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 86690-000, Brasil"
https://www.airbnb.com.br/rooms/1140777804386657404?check_in=2026-03-10&check_out=2026-03-15,Recanto Guarany a Beira do Rio Paranapanema,Elenice,2 anos,N/A,N/A,N/A,N/A,13,4,9,3,-22.6352,-51.7454,"Rua Ipanema, Condomínio Pousada do Paranapanema, Santo Inácio, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil"
https://www.airbnb.com.br/rooms/1049331626593801941?check_in=2026-03-10&check_out=2026-03-15,Casa no Rio Paranapanema - PR. Condomínio Fechado,Fassina,2 anos,N/A,N/A,N/A,N/A,8,3,5,2,-22.63787,-51.74212,"Rua Guaratuba, Condomínio Pousada do Paranapanema, Santo Inácio, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil"
https://www.airbnb.com.br/rooms/1210307411814531128?check_in=2026-03-10&check_out=2026-03-15,chácara em condomínio fechado,Daniele Luzia,3 anos,N/A,N/A,N/A,N/A,8,2,3,2,-22.6348,-51.8845,"Rua Antônio Hipólito, Santa Inês, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil"
https://www.airbnb.com.br/rooms/1140408984128530658?check_in=2026-03-10&check_out=2026-03-15,casa forte lazer área rural,Elda,2 anos,N/A,N/A,N/A,N/A,4,1,2,2,-22.83862,-51.97213,"Avenida Paraná, Residencial Parque dos Pinheiros, Colorado, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 86690-000, Brasil"
https://www.airbnb.com.br/rooms/1537691166562164008?check_in=2026-03-10&check_out=2026-03-15,Casa com aluguel por temporada,Diego José,N/A,N/A,N/A,N/A,N/A,15,3,15,3,-22.63923,-51.74156,"Rua Lambari, Condomínio Pousada do Paranapanema II, Santo Inácio, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil"
https://www.airbnb.com.br/rooms/799463764801477935?check_in=2026-03-10&check_out=2026-03-15,chácara Recanto Nikolas Tesla,Daniele Luzia,3 anos,N/A,N/A,N/A,N/A,8,2,3,2,-22.63348,-51.88578,"Rua Antônio Hipólito, Santa Inês, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil"
https://www.airbnb.com.br/rooms/1437754041306296582?check_in=2026-03-10&check_out=2026-03-15,"Refúgio à beira do rio: lazer, natureza e conforto",Fernanda,N/A,N/A,N/A,N/A,N/A,10,2,5,5,-22.5706,-51.9688,"Itaguajé, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil"
https://www.airbnb.com.br/rooms/1171194306763458149?check_in=2026-03-10&check_out=2026-03-15,A tranquilidade reina por aqui!,Elda,2 anos,N/A,N/A,N/A,N/A,4,1,2,2,-22.81925,-51.95933,"Rua Cesar Zamperlini, Conjunto João XXIII, Colorado, Região Geográfica Imediata de Paranacity-Colorado, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 86690-000, Brasil"
